date,AguasVerdes_1,BigstoneBayLOTW_6,ATQ206_3,Auburn2_5,Lake226_26,BRW100_10,PP1LOTW_53,Albino_2,Auburn_4,BluebellPass_7,Blueberry_8,Borreguil_9,Chorerras_11,Clearwater_12,Crystal_13,Cuadrada_14,Daisy_15,Denise_16,EastCarol_17,FalseDuckIslandPond_18,ForestIslandLOTW_19,George_20,Hawley_21,Jasper_22,Kluane_23,KoorasteLinajarv_24,Lagarde_25,LittleSoulier_27,Llaviacu_28,LongPond_29,LongPond2_30,LostPack_31,LOWBB_32,LOWPP1_33,LOWWB_34,Lumsden_35,MainDuckIslandPond_36,Middle_37,MiddleRange_38,MiddleRange2_39,Milltown_40,Mosca_41,NE13_42,NE20_43,NoName_44,NorthRaft_45,OCF48_46,Panther_47,Panther2_48,Peipsi_49,PigeonIslandPond_50,Pleasant_51,Pleasant2_52,Ramp223_54,Ramp226_55,RDC312_56,RioSeco_57,RioSecoSuperior_58,Sabattus_59,Sabattus2_60,SaintAugustin_61,SE22_62,Spruce_63,SunapeeBuoy_64,SunapeeBuoy2_65,SunapeeHC_66,SunapeeHC2_67,Suwa_68,Taylor_69,Toredora_70,UpperCarrol_71,Vortsjarv_72,W16_73,WAP12_74,WAP20_75,WAP21_76,WAP21_77,WhitefishBayLOTW_78
1770-01-01,29.3549993438646,0,0,0,0,0,0,0,0,0,0,29.3549993438646,0.637499985750765,0,0,29.3549993438646,0,0.767499982845038,0,0,0,0,0,0,0,1.20499997306615,0,0,1.16499997396022,0,0,0,0,0,0,0,0,0,0,0,26.3824994103052,29.3549993438646,0,0,9.23749979352579,0,0,0,0,0.509999988600612,0,0,0,0,0,0,29.3549993438646,29.3549993438646,0,0,0,0,0,0,0,0,0,1.76499996054918,0.767499982845038,1.16499997396022,0,1.14749997435138,0,0,0,0,0,0
1771-01-01,29.3599993437529,0,0,0,0,0,0,0,0,0,0,29.3599993437529,0.639999985694885,0,0,29.3599993437529,0,0.829999981448054,0,0,0,0,0,0,0,1.23249997245148,0,0,1.16999997384846,0,0,0,0,0,0,0,0,0,0,0,26.4299994092435,29.3599993437529,0,0,9.28999979235232,0,0,0,0,0.514999988488853,0,0,0,0,0,0,29.3599993437529,29.3599993437529,0,0,0,0,0,0,0,0,0,1.76499996054918,0.829999981448054,1.16999997384846,0,1.16749997390434,0,0,0,0,0,0
1772-01-01,29.3724993434735,0,0,0,0,0,0,0,0,0,0,29.3724993434735,0.644999985583127,0,0,29.3724993434735,0,0.89249998005107,0,0,0,0,0,0,0,1.26249997178093,0,0,1.17749997368082,0,0,0,0,0,0,0,0,0,0,0,26.4774994081818,29.3724993434735,0,0,9.34249979117885,0,0,0,0,0.517499988432974,0,0,0,0,0,0,29.3724993434735,29.3724993434735,0,0,0,0,0,0,0,0,0,1.76499996054918,0.89249998005107,1.17749997368082,0,1.18999997340143,0,0,0,0,0,0
1773-01-01,29.3849993431941,0,0,0,0,0,0,0,0,0,0,29.3849993431941,0.652499985415488,0,0,29.3849993431941,0,0.954999978654087,0,0,0,0,0,0,0,1.27249997155741,0,0,1.18499997351319,0,0,0,0,0,0,0,0,0,0,0,26.5224994071759,29.3849993431941,0,0,9.39249979006127,0,0,0,0,0.517499988432974,0,0,0,0,0,0,29.3849993431941,29.3849993431941,0,0,0,0,0,0,0,0,0,1.76499996054918,0.954999978654087,1.18499997351319,0,1.20249997312203,0,0,0,0,0,0
1774-01-01,29.3924993430264,0,0,0,0,0,0,0,0,0,0,29.3924993430264,0.652499985415488,0,0,29.3924993430264,0,1.01249997736886,0,0,0,0,0,0,0,1.30249997088686,0,0,1.18749997345731,0,0,0,0,0,0,0,0,0,0,0,26.5374994068407,29.3924993430264,0,0,9.43999978899956,0,0,0,0,0.522499988321215,0,0,0,0,0,0,29.3924993430264,29.3924993430264,0,0,0,0,0,0,0,0,0,1.76499996054918,1.01249997736886,1.18749997345731,0,1.222499972675,0,0,0,0,0,0
1775-01-01,29.4024993428029,0,0,0,0,0,0,0,0,0,0,29.4024993428029,0.65999998524785,0,0,29.4024993428029,0,1.077499975916,0,0,0,0,0,0,0,1.3324999702163,0,0,1.19749997323379,0,0,0,0,0,0,0,0,0,0,0,26.5874994057231,29.4024993428029,0,0,9.49249978782609,0,0,0,0,0.524999988265336,0,0,0,0,0,0,29.4024993428029,29.4024993428029,0,0,0,0,0,0,0,0,0,1.76499996054918,1.077499975916,1.19749997323379,0,1.49499996658415,0,0,0,0,0,0
1776-01-01,29.4124993425794,0,0,0,0,0,0,0,0,0,0,29.4124993425794,0.662499985191971,0,0,29.4124993425794,0,1.13999997451901,0,0,0,0,0,0,0,1.33749997010455,0,0,1.19999997317791,0,0,0,0,0,0,0,0,0,0,0,26.6324994047172,29.4124993425794,0,0,9.54749978659675,0,0,0,0,0.524999988265336,0,0,0,0,0,0,29.4124993425794,29.4124993425794,0,0,0,0,0,0,0,0,0,1.76499996054918,1.13999997451901,1.19999997317791,0,1.50499996636063,0,0,0,0,0,0
1777-01-01,29.4224993423559,0,0,0,0,0,0,0,0,0,0,29.4224993423559,0.667499985080212,0,0,29.4224993423559,0,1.20249997312203,0,0,0,0,0,0,0,1.36249996954575,0,0,1.20499997306615,0,0,0,0,0,0,0,0,0,0,0,26.6774994037114,29.4224993423559,0,0,9.59499978553504,0,0,0,0,0.529999988153577,0,0,0,0,0,0,29.4224993423559,29.4224993423559,0,0,0,0,0,0,0,0,0,1.76499996054918,1.20249997312203,1.20499997306615,0,1.52749996585771,0,0,0,0,0,0
1778-01-01,29.4324993421324,0,0,0,0,0,0,0,0,0.249999994412065,0,29.4324993421324,0.674999984912574,0,0,29.4324993421324,0,1.26499997172505,0,0,0,0,0,0,0,1.39499996881932,0,0,1.21499997284263,0,0,0,0,0,0,0,0,0,0,0,26.7224994027056,29.4324993421324,0,0,9.64749978436157,0,0,0,0,0.532499988097697,0,0,0,0,0,0,29.4324993421324,29.4324993421324,0,0,0,0,0,0,0,0,0,1.76499996054918,1.26499997172505,1.21499997284263,0.249999994412065,1.55999996513128,0,0,0,0,0,0
1779-01-01,29.4424993419088,0,0,0,0,0,0,0,0,0.259999994188547,0,29.4424993419088,0.674999984912574,0,0,29.4424993419088,0,1.32749997032806,0,0,0,0,0,0,0,1.40249996865168,0,0,1.21499997284263,0,0,0,0,0,0,0,0,0,0,0,26.7674994016998,29.4424993419088,0,0,9.69499978329986,0,0,0,0,0.532499988097697,0,0,0,0,0,0,29.4424993419088,29.4424993419088,0,0,0,0,0,0,0,0,0,1.76499996054918,1.32749997032806,1.21499997284263,0.259999994188547,1.56749996496364,0,0,0,0,0,0
1780-01-01,29.4549993416294,0,0,0,0,0,0,0,0,0.26999999396503,0,29.4549993416294,0.677499984856695,0,0,29.4549993416294,0,1.38999996893108,0,0,0,0,0,0,0,1.43249996798113,0,0,1.222499972675,0,0,0,0,0,0,0,0,0,0,0,26.8124994006939,29.4549993416294,0,0,9.7474997821264,0,0,0,0,0.537499987985939,0,0,0,0,0,0,29.4549993416294,29.4549993416294,0,0,0,0,0,0,0,0,0,1.76499996054918,1.38999996893108,1.222499972675,0.26999999396503,1.59749996429309,0,0,0,0,0,0
1781-01-01,29.4624993414618,0,0,0,0,0,0,0,0,0.279999993741512,0,29.4624993414618,0.684999984689057,0,0,29.4624993414618,0,1.44749996764585,0,0,0,0,0,0,0,1.45999996736646,0,0,1.22499997261912,0,0,0,0,0,0,0,0,0,0,0,26.854999399744,29.4624993414618,0,0,9.79749978100881,0,0,0,0,0.539999987930059,0,0,0,0,0,0,29.4624993414618,29.4624993414618,0,0,0,0,0,0,0,0,0,1.76499996054918,1.44749996764585,1.22499997261912,0.279999993741512,1.6224999637343,0,0,0,0,0,0
1782-01-01,29.4749993411824,0,0,0,0,0,0,0.249999994412065,0,0.289999993517995,0,29.4749993411824,0.689999984577298,0,0,29.4749993411824,0,1.50999996624887,0,0,0,0,0,0.249999994412065,0,1.4649999672547,0,0,1.2349999723956,0,0,0,0,0,0,0,0,0,0,0,26.9024993986823,29.4749993411824,0,0,9.84999977983534,0,0,0,0,0.539999987930059,0,0,0,0,0,0,29.4749993411824,29.4749993411824,0,0,0,0,0,0,0,0,0,1.76499996054918,1.50999996624887,1.2349999723956,0.289999993517995,1.62749996362254,0,0,0,0,0,0
1783-01-01,29.4824993410148,0,0,0,0,0,0,0.257499994244426,0,0.299999993294477,0,29.4824993410148,0.692499984521419,0,0,29.4824993410148,0,1.57249996485189,0,0,0,0,0,0.257499994244426,0,1.49499996658415,0,0,1.23999997228384,0,0,0,0,0,0,0,0,0,0,0,26.9424993977882,29.4824993410148,0,0,9.90249977866188,0,0,0,0,0.544999987818301,0,0,0,0,0,0,29.4824993410148,29.4824993410148,0,0,0,0,0,0,0,0,0,1.76499996054918,1.57249996485189,1.23999997228384,0.299999993294477,1.65749996295199,0,0,0,0,0,0
1784-01-01,29.4949993407354,0,0,0,0,0,0,0.264999994076788,0,0.30999999307096,0,29.4949993407354,0.69749998440966,0,0,29.4949993407354,0,1.89249995769933,0,0,0,0,0,0.264999994076788,0,1.52749996585771,0,0,1.24249997222796,0,0,0,0,0,0,0,0,0,0,0,26.9849993968382,29.4949993407354,0,0,9.94999977760017,0,0,0,0,0.547499987762421,0,0,0,0,0,0,29.4949993407354,29.4949993407354,0,0,0,0,0,0,0,0,0,1.76499996054918,1.89249995769933,1.24249997222796,0.30999999307096,1.68999996222556,0,0,0,0,0,0
1785-01-01,29.5049993405119,0,0,0,0,0,0,0.26999999396503,0,0.319999992847443,0,29.5049993405119,0.702499984297901,0,0,29.5049993405119,0,1.96499995607883,0,0,0,0,0,0.26999999396503,0,1.52999996580184,0,0,1.24999997206032,0,0,0,0,0,0,0,0,0,0,0,27.0274993958883,29.5049993405119,0,0,10.0024997764267,0,0,0,0,0.547499987762421,0,0,0,0,0,0,29.5049993405119,29.5049993405119,0,0,0,0,0,0,0,0,0,1.76499996054918,1.96499995607883,1.24999997206032,0.319999992847443,1.6949999621138,0,0,0,0,0,0
1786-01-01,29.5124993403442,0,0,0,0,0,0,0.277499993797392,0,0.58249998698011,0,29.5124993403442,0.704999984242022,0,0,29.5124993403442,0,2.03499995451421,0,0,0,0,0,0.277499993797392,0,1.5624999650754,0,0,1.25499997194856,0,0,0,0,0,0,0,0,0,0,0,27.0699993949383,29.5124993403442,0,0,10.0524997753091,0,0,0,0,0.552499987650663,0,0,0,0,0,0,29.5124993403442,29.5124993403442,0,0,0,0,0,0,0,0,0,1.76499996054918,2.03499995451421,1.25499997194856,0.58249998698011,1.72499996144325,0,0,0,0,0,0
